,sobreviveu,bilhete_classe,sexo,idade,familiares_1,familiares_2,bilhete_valor,embarque,conves
246,0,3,female,25.0,0,0,7.775,S,U
247,1,2,female,24.0,0,2,14.5,S,U
248,1,1,male,37.0,1,1,52.5542,S,D
249,0,2,male,54.0,1,0,26.0,S,U
250,0,3,male,28.0,0,0,7.25,S,U
251,0,3,female,29.0,1,1,10.4625,S,G
252,0,1,male,62.0,0,0,26.55,S,C
253,0,3,male,30.0,1,0,16.1,S,U
254,0,3,female,41.0,0,2,20.2125,S,U
255,1,3,female,29.0,0,2,15.2458,C,U
256,1,1,female,28.0,0,0,79.2,C,U
257,1,1,female,30.0,0,0,86.5,S,B
258,1,1,female,35.0,0,0,512.3292,C,U
259,1,2,female,50.0,0,1,26.0,S,U
260,0,3,male,28.0,0,0,7.75,Q,U
261,1,3,male,3.0,4,2,31.3875,S,U
262,0,1,male,52.0,1,1,79.65,S,E
264,0,3,female,28.0,0,0,7.75,Q,U
265,0,2,male,36.0,0,0,10.5,S,U
266,0,3,male,16.0,4,1,39.6875,S,U
267,1,3,male,25.0,1,0,7.775,S,U
268,1,1,female,58.0,0,1,153.4625,S,C
269,1,1,female,35.0,0,0,135.6333,S,C
270,0,1,male,28.0,0,0,31.0,S,U
272,1,2,female,41.0,0,1,19.5,S,U
273,0,1,male,37.0,0,1,29.7,C,C
274,1,3,female,28.0,0,0,7.75,Q,U
275,1,1,female,63.0,1,0,77.9583,S,D
276,0,3,female,45.0,0,0,7.75,S,U
278,0,3,male,7.0,4,1,29.125,Q,U
279,1,3,female,35.0,1,1,20.25,S,U
280,0,3,male,65.0,0,0,7.75,Q,U
281,0,3,male,28.0,0,0,7.8542,S,U
282,0,3,male,16.0,0,0,9.5,S,U
283,1,3,male,19.0,0,0,8.05,S,U
284,0,1,male,28.0,0,0,26.0,S,A
285,0,3,male,33.0,0,0,8.6625,C,U
286,1,3,male,30.0,0,0,9.5,S,U
287,0,3,male,22.0,0,0,7.8958,S,U
288,1,2,male,42.0,0,0,13.0,S,U
289,1,3,female,22.0,0,0,7.75,Q,U
290,1,1,female,26.0,0,0,78.85,S,U
291,1,1,female,19.0,1,0,91.0792,C,B
292,0,2,male,36.0,0,0,12.875,C,D
293,0,3,female,24.0,0,0,8.85,S,U
294,0,3,male,24.0,0,0,7.8958,S,U
295,0,1,male,28.0,0,0,27.7208,C,U
296,0,3,male,23.5,0,0,7.2292,C,U
297,0,1,female,2.0,1,2,151.55,S,C
298,1,1,male,28.0,0,0,30.5,S,C
299,1,1,female,50.0,0,1,247.5208,C,B
300,1,3,female,28.0,0,0,7.75,Q,U
301,1,3,male,28.0,2,0,23.25,Q,U
303,1,2,female,28.0,0,0,12.35,Q,E
304,0,3,male,28.0,0,0,8.05,S,U
305,1,1,male,0.92,1,2,151.55,S,C
306,1,1,female,28.0,0,0,110.8833,C,U
307,1,1,female,17.0,1,0,108.9,C,C
308,0,2,male,30.0,1,0,24.0,C,U
309,1,1,female,30.0,0,0,56.9292,C,E
310,1,1,female,24.0,0,0,83.1583,C,C
311,1,1,female,18.0,2,2,262.375,C,B
312,0,2,female,26.0,1,1,26.0,S,U
313,0,3,male,28.0,0,0,7.8958,S,U
314,0,2,male,43.0,1,1,26.25,S,U
315,1,3,female,26.0,0,0,7.8542,S,U
316,1,2,female,24.0,1,0,26.0,S,U
317,0,2,male,54.0,0,0,14.0,S,U
318,1,1,female,31.0,0,2,164.8667,S,C
319,1,1,female,40.0,1,1,134.5,C,E
320,0,3,male,22.0,0,0,7.25,S,U
321,0,3,male,27.0,0,0,7.8958,S,U
322,1,2,female,30.0,0,0,12.35,Q,U
323,1,2,female,22.0,1,1,29.0,S,U
324,0,3,male,28.0,8,2,69.55,S,U
325,1,1,female,36.0,0,0,135.6333,C,C
326,0,3,male,61.0,0,0,6.2375,S,U
327,1,2,female,36.0,0,0,13.0,S,D
328,1,3,female,31.0,1,1,20.525,S,U
329,1,1,female,16.0,0,1,57.9792,C,B
330,1,3,female,28.0,2,0,23.25,Q,U
331,0,1,male,45.5,0,0,28.5,S,C
332,0,1,male,38.0,0,1,153.4625,S,C
333,0,3,male,16.0,2,0,18.0,S,U
334,1,1,female,28.0,1,0,133.65,S,U
335,0,3,male,28.0,0,0,7.8958,S,U
336,0,1,male,29.0,1,0,66.6,S,C
337,1,1,female,41.0,0,0,134.5,C,E
338,1,3,male,45.0,0,0,8.05,S,U
339,0,1,male,45.0,0,0,35.5,S,T
340,1,2,male,2.0,1,1,26.0,S,F
341,1,1,female,24.0,3,2,263.0,S,C
342,0,2,male,28.0,0,0,13.0,S,U
343,0,2,male,25.0,0,0,13.0,S,U
344,0,2,male,36.0,0,0,13.0,S,U
345,1,2,female,24.0,0,0,13.0,S,F
346,1,2,female,40.0,0,0,13.0,S,U
347,1,3,female,28.0,1,0,16.1,S,U
348,1,3,male,3.0,1,1,15.9,S,U
349,0,3,male,42.0,0,0,8.6625,S,U
350,0,3,male,23.0,0,0,9.225,S,U
351,0,1,male,28.0,0,0,35.0,S,C
352,0,3,male,15.0,1,1,7.2292,C,U
353,0,3,male,25.0,1,0,17.8,S,U
354,0,3,male,28.0,0,0,7.225,C,U
355,0,3,male,28.0,0,0,9.5,S,U
356,1,1,female,22.0,0,1,55.0,S,E
357,0,2,female,38.0,0,0,13.0,S,U
358,1,3,female,28.0,0,0,7.8792,Q,U
359,1,3,female,28.0,0,0,7.8792,Q,U
360,0,3,male,40.0,1,4,27.9,S,U
361,0,2,male,29.0,1,0,27.7208,C,U
362,0,3,female,45.0,0,1,14.4542,C,U
363,0,3,male,35.0,0,0,7.05,S,U
364,0,3,male,28.0,1,0,15.5,Q,U
365,0,3,male,30.0,0,0,7.25,S,U
366,1,1,female,60.0,1,0,75.25,C,D
367,1,3,female,28.0,0,0,7.2292,C,U
368,1,3,female,28.0,0,0,7.75,Q,U
369,1,1,female,24.0,0,0,69.3,C,B
370,1,1,male,25.0,1,0,55.4417,C,E
371,0,3,male,18.0,1,0,6.4958,S,U
372,0,3,male,19.0,0,0,8.05,S,U
373,0,1,male,22.0,0,0,135.6333,C,U
374,0,3,female,3.0,3,1,21.075,S,U
375,1,1,female,28.0,1,0,82.1708,C,U
376,1,3,female,22.0,0,0,7.25,S,U
377,0,1,male,27.0,0,2,211.5,C,C
378,0,3,male,20.0,0,0,4.0125,C,U
379,0,3,male,19.0,0,0,7.775,S,U
380,1,1,female,42.0,0,0,227.525,C,U
381,1,3,female,1.0,0,2,15.7417,C,U
382,0,3,male,32.0,0,0,7.925,S,U
383,1,1,female,35.0,1,0,52.0,S,U
384,0,3,male,28.0,0,0,7.8958,S,U
385,0,2,male,18.0,0,0,73.5,S,U
386,0,3,male,1.0,5,2,46.9,S,U
387,1,2,female,36.0,0,0,13.0,S,U
388,0,3,male,28.0,0,0,7.7292,Q,U
389,1,2,female,17.0,0,0,12.0,C,U
390,1,1,male,36.0,1,2,120.0,S,B
391,1,3,male,21.0,0,0,7.7958,S,U
392,0,3,male,28.0,2,0,7.925,S,U
393,1,1,female,23.0,1,0,113.275,C,D
394,1,3,female,24.0,0,2,16.7,S,G
395,0,3,male,22.0,0,0,7.7958,S,U
396,0,3,female,31.0,0,0,7.8542,S,U
397,0,2,male,46.0,0,0,26.0,S,U
398,0,2,male,23.0,0,0,10.5,S,U
399,1,2,female,28.0,0,0,12.65,S,U
400,1,3,male,39.0,0,0,7.925,S,U
401,0,3,male,26.0,0,0,8.05,S,U
402,0,3,female,21.0,1,0,9.825,S,U
403,0,3,male,28.0,1,0,15.85,S,U
404,0,3,female,20.0,0,0,8.6625,S,U
405,0,2,male,34.0,1,0,21.0,S,U
406,0,3,male,51.0,0,0,7.75,S,U
407,1,2,male,3.0,1,1,18.75,S,U
408,0,3,male,21.0,0,0,7.775,S,U
409,0,3,female,28.0,3,1,25.4667,S,U
410,0,3,male,28.0,0,0,7.8958,S,U
411,0,3,male,28.0,0,0,6.8583,Q,U
412,1,1,female,33.0,1,0,90.0,Q,C
414,1,3,male,44.0,0,0,7.925,S,U
415,0,3,female,28.0,0,0,8.05,S,U
416,1,2,female,34.0,1,1,32.5,S,U
417,1,2,female,18.0,0,2,13.0,S,U
418,0,2,male,30.0,0,0,13.0,S,U
419,0,3,female,10.0,0,2,24.15,S,U
420,0,3,male,28.0,0,0,7.8958,C,U
421,0,3,male,21.0,0,0,7.7333,Q,U
422,0,3,male,29.0,0,0,7.875,S,U
423,0,3,female,28.0,1,1,14.4,S,U
424,0,3,male,18.0,1,1,20.2125,S,U
425,0,3,male,28.0,0,0,7.25,S,U
426,1,2,female,28.0,1,0,26.0,S,U
427,1,2,female,19.0,0,0,26.0,S,U
428,0,3,male,28.0,0,0,7.75,Q,U
429,1,3,male,32.0,0,0,8.05,S,E
430,1,1,male,28.0,0,0,26.55,S,C
431,1,3,female,28.0,1,0,16.1,S,U
432,1,2,female,42.0,1,0,26.0,S,U
433,0,3,male,17.0,0,0,7.125,S,U
434,0,1,male,50.0,1,0,55.9,S,E
435,1,1,female,14.0,1,2,120.0,S,B
436,0,3,female,21.0,2,2,34.375,S,U
437,1,2,female,24.0,2,3,18.75,S,U
438,0,1,male,64.0,1,4,263.0,S,C
439,0,2,male,31.0,0,0,10.5,S,U
440,1,2,female,45.0,1,1,26.25,S,U
441,0,3,male,20.0,0,0,9.5,S,U
442,0,3,male,25.0,1,0,7.775,S,U
443,1,2,female,28.0,0,0,13.0,S,U
444,1,3,male,28.0,0,0,8.1125,S,U
445,1,1,male,4.0,0,2,81.8583,S,A
446,1,2,female,13.0,0,1,19.5,S,U
447,1,1,male,34.0,0,0,26.55,S,U
448,1,3,female,5.0,2,1,19.2583,C,U
449,1,1,male,52.0,0,0,30.5,S,C
450,0,2,male,36.0,1,2,27.75,S,U
451,0,3,male,28.0,1,0,19.9667,S,U
452,0,1,male,30.0,0,0,27.75,C,C
453,1,1,male,49.0,1,0,89.1042,C,C
454,0,3,male,28.0,0,0,8.05,S,U
455,1,3,male,29.0,0,0,7.8958,C,U
456,0,1,male,65.0,0,0,26.55,S,E
457,1,1,female,28.0,1,0,51.8625,S,D
458,1,2,female,50.0,0,0,10.5,S,U
459,0,3,male,28.0,0,0,7.75,Q,U
460,1,1,male,48.0,0,0,26.55,S,E
461,0,3,male,34.0,0,0,8.05,S,U
462,0,1,male,47.0,0,0,38.5,S,E
463,0,2,male,48.0,0,0,13.0,S,U
464,0,3,male,28.0,0,0,8.05,S,U
465,0,3,male,38.0,0,0,7.05,S,U
467,0,1,male,56.0,0,0,26.55,S,U
468,0,3,male,28.0,0,0,7.725,Q,U
469,1,3,female,0.75,2,1,19.2583,C,U
470,0,3,male,28.0,0,0,7.25,S,U
471,0,3,male,38.0,0,0,8.6625,S,U
472,1,2,female,33.0,1,2,27.75,S,U
473,1,2,female,23.0,0,0,13.7917,C,D
474,0,3,female,22.0,0,0,9.8375,S,U
475,0,1,male,28.0,0,0,52.0,S,A
476,0,2,male,34.0,1,0,21.0,S,U
477,0,3,male,29.0,1,0,7.0458,S,U
478,0,3,male,22.0,0,0,7.5208,S,U
479,1,3,female,2.0,0,1,12.2875,S,U
480,0,3,male,9.0,5,2,46.9,S,U
482,0,3,male,50.0,0,0,8.05,S,U
483,1,3,female,63.0,0,0,9.5875,S,U
484,1,1,male,25.0,1,0,91.0792,C,B
485,0,3,female,28.0,3,1,25.4667,S,U
486,1,1,female,35.0,1,0,90.0,S,C
487,0,1,male,58.0,0,0,29.7,C,B
488,0,3,male,30.0,0,0,8.05,S,U
489,1,3,male,9.0,1,1,15.9,S,U
490,0,3,male,28.0,1,0,19.9667,S,U
491,0,3,male,21.0,0,0,7.25,S,U
492,0,1,male,55.0,0,0,30.5,S,C
493,0,1,male,71.0,0,0,49.5042,C,U
494,0,3,male,21.0,0,0,8.05,S,U
495,0,3,male,28.0,0,0,14.4583,C,U
496,1,1,female,54.0,1,0,78.2667,C,D
497,0,3,male,28.0,0,0,15.1,S,U
498,0,1,female,25.0,1,2,151.55,S,C
499,0,3,male,24.0,0,0,7.7958,S,U
500,0,3,male,17.0,0,0,8.6625,S,U
501,0,3,female,21.0,0,0,7.75,Q,U
502,0,3,female,28.0,0,0,7.6292,Q,U
503,0,3,female,37.0,0,0,9.5875,S,U
504,1,1,female,16.0,0,0,86.5,S,B
505,0,1,male,18.0,1,0,108.9,C,C
506,1,2,female,33.0,0,2,26.0,S,U
507,1,1,male,28.0,0,0,26.55,S,U
508,0,3,male,28.0,0,0,22.525,S,U
509,1,3,male,26.0,0,0,56.4958,S,U
510,1,3,male,29.0,0,0,7.75,Q,U
511,0,3,male,28.0,0,0,8.05,S,U
512,1,1,male,36.0,0,0,26.2875,S,E
513,1,1,female,54.0,1,0,59.4,C,U
514,0,3,male,24.0,0,0,7.4958,S,U
515,0,1,male,47.0,0,0,34.0208,S,D
516,1,2,female,34.0,0,0,10.5,S,F
517,0,3,male,28.0,0,0,24.15,Q,U
518,1,2,female,36.0,1,0,26.0,S,U
519,0,3,male,32.0,0,0,7.8958,S,U
520,1,1,female,30.0,0,0,93.5,S,B
521,0,3,male,22.0,0,0,7.8958,S,U
522,0,3,male,28.0,0,0,7.225,C,U
523,1,1,female,44.0,0,1,57.9792,C,B
524,0,3,male,28.0,0,0,7.2292,C,U
525,0,3,male,40.5,0,0,7.75,Q,U
526,1,2,female,50.0,0,0,10.5,S,U
527,0,1,male,28.0,0,0,221.7792,S,C
528,0,3,male,39.0,0,0,7.925,S,U
529,0,2,male,23.0,2,1,11.5,S,U
530,1,2,female,2.0,1,1,26.0,S,U
531,0,3,male,28.0,0,0,7.2292,C,U
532,0,3,male,17.0,1,1,7.2292,C,U
533,1,3,female,28.0,0,2,22.3583,C,U
534,0,3,female,30.0,0,0,8.6625,S,U
535,1,2,female,7.0,0,2,26.25,S,U
536,0,1,male,45.0,0,0,26.55,S,B
537,1,1,female,30.0,0,0,106.425,C,U
538,0,3,male,28.0,0,0,14.5,S,U
539,1,1,female,22.0,0,2,49.5,C,B
540,1,1,female,36.0,0,2,71.0,S,B
541,0,3,female,9.0,4,2,31.275,S,U
542,0,3,female,11.0,4,2,31.275,S,U
543,1,2,male,32.0,1,0,26.0,S,U
544,0,1,male,50.0,1,0,106.425,C,C
545,0,1,male,64.0,0,0,26.0,S,U
546,1,2,female,19.0,1,0,26.0,S,U
547,1,2,male,28.0,0,0,13.8625,C,U
548,0,3,male,33.0,1,1,20.525,S,U
549,1,2,male,8.0,1,1,36.75,S,U
550,1,1,male,17.0,0,2,110.8833,C,C
551,0,2,male,27.0,0,0,26.0,S,U
552,0,3,male,28.0,0,0,7.8292,Q,U
553,1,3,male,22.0,0,0,7.225,C,U
554,1,3,female,22.0,0,0,7.775,S,U
555,0,1,male,62.0,0,0,26.55,S,U
556,1,1,female,48.0,1,0,39.6,C,A
557,0,1,male,28.0,0,0,227.525,C,U
558,1,1,female,39.0,1,1,79.65,S,E
559,1,3,female,36.0,1,0,17.4,S,U
560,0,3,male,28.0,0,0,7.75,Q,U
561,0,3,male,40.0,0,0,7.8958,S,U
562,0,2,male,28.0,0,0,13.5,S,U
563,0,3,male,28.0,0,0,8.05,S,U
564,0,3,female,28.0,0,0,8.05,S,U
565,0,3,male,24.0,2,0,24.15,S,U
566,0,3,male,19.0,0,0,7.8958,S,U
567,0,3,female,29.0,0,4,21.075,S,U
568,0,3,male,28.0,0,0,7.2292,C,U
569,1,3,male,32.0,0,0,7.8542,S,U
570,1,2,male,62.0,0,0,10.5,S,U
571,1,1,female,53.0,2,0,51.4792,S,C
572,1,1,male,36.0,0,0,26.3875,S,E
573,1,3,female,28.0,0,0,7.75,Q,U
574,0,3,male,16.0,0,0,8.05,S,U
575,0,3,male,19.0,0,0,14.5,S,U
576,1,2,female,34.0,0,0,13.0,S,U
